Code,Latitude,Longitude,Score,StandardCivicNumber,StandardAddress,StandardCity,StandardStateorProvinceAbbrv,PostalZip,Frequency
V7X1P4,49.273829,-123.088097,2,1,,VAN,BC,V7X1P4,2
N8X1L9,42.299416,-83.028048,2,1,,WINDSOR,ON,N8X1L9,2
L2S3W2,43.175421,-79.273989,2,1,,Saint Catharines,ON,L2S3W2,2
L7P5B1,43.345762,-79.817797,2,1,,BURLINGTON,ON,L7P5B1,2
K1P5T8,45.422244,-75.697006,2,1,,OTTAWA,ON,K1P5T8,2
M2N6L7,43.767527,-79.412433,2,1,,North York,ON,M2N6L7,2
M5J2V1,43.644609,-79.381539,2,1,,TORONTO,ON,M5J2V1,2
V1N3H7,49.341063,-117.743479,2,1,,CASTLEGAR,BC,V1N3H7,2
M3B1T1,43.749606,-79.34911,2,1,,NORTH YORK,ON,M3B1T1,2
A1A5A1,47.604644,-52.736169,2,1,,ST. JOHN&#39;S,NL,A1A5A1,2
B3J3N4,44.648954,-63.573474,2,1,,HALIFAX,NS,B3J3N4,2
R3C4L5,49.892307,-97.139388,2,1,,Winnipeg,MB,R3C4L5,2
M5H3R4,43.650821,-79.386827,2,1,,Toronto,ON,M5H3R4,2
H3A1G3,45.503288,-73.574969,2,1,,MONTR問AL,QC,H3A1G3,2
M5H1P9,43.649059,-79.382505,2,1,,Toronto,ON,M5H1P9,2
V7X1K8,49.281457,-123.114478,2,1,,Delta,BC,V7X1K8,2
M5J2J7,43.650365,-79.390125,2,1,,TORONTO,ON,M5J2J7,2
M4T2S5,43.68834,-79.393471,2,1,,TORONTO,ON,M4T2S5,2
M4W3R8,43.670733,-79.383953,2,1,,TORONTO,ON,M4W3R8,2
M5C2V9,43.651865,-79.371647,2,1,,Toronto,ON,M5C2V9,2
M5J2J2,43.652051,-79.379114,2,1,,TORONTO,ON,M5J2J2,2
L4B3N3,43.841428,-79.398441,2,1,,RICHMOND HILL,ON,L4B3N3,2
N2L1S7,43.465258,-80.522815,2,1,,WATERLOO,ON,N2L1S7,2
H3A3L4,45.501665,-73.574024,2,1,,MONTR問AL,QC,H3A3L4,2
V6Z2T1,49.280672,-123.122576,2,1,,VANCOUVER,BC,V6Z2T1,2
M5H1H1,43.649012,-79.37854,2,1,,TORONTO,ON,M5H1H1,2
M3C2E9,43.732697,-79.345105,2,1,,NORTH YORK,ON,M3C2E9,2
M4V3A1,43.686646,-79.401516,2,1,,TORONTO,ON,M4V3A1,2
M8X2X3,43.638616,-79.520972,2,1,,ETOBICOKE,ON,M8X2X3,2
V6H4A7,49.263509,-123.13526,2,1,,VANCOUVER,BC,V6H4A7,2
N1R4S4,43.343045,-80.300561,2,1,,Cambridge,ON,N1R4S4,2
H4P2M8,45.499235,-73.658356,2,1,,MONTR問AL,QC,H4P2M8,2
H3A1E7,45.504751,-73.573555,2,1,,MONTR問AL,QC,H3A1E7,2
L6Z2S7,43.738288,-79.75171,2,1,,BRAMPTON,ON,L6Z2S7,2
L5B1M2,43.597106,-79.643642,2,1,,Mississauga,ON,L5B1M2,2
L6R2S1,43.76152,-79.750932,2,1,,BRAMPTON,ON,L6R2S1,2
L6H6Z4,43.486282,-79.701423,2,1,,Oakville,ON,L6H6Z4,2
M9V1R8,43.730675,-79.600432,2,1,,Toronto,ON,M9V1R8,2
L5B2C9,43.592545,-79.638624,2,1,,Mississauga,ON,L5B2C9,2
T1J0J8,49.696451,-112.829009,2,1,,LETHBRIDGE,AB,T1J0J8,2
T1J2G5,49.694088,-112.836903,2,1,,Lethbridge,AB,T1J2G5,2
T1J4C4,49.692999,-112.834969,2,1,,Lethbridge,AB,T1J4C4,2
T1J0P6,49.697202,-112.819038,2,1,,LETHBRIDGE,AB,T1J0P6,2
Y1A5L8,60.737148,-135.080325,2,1,,WHITEHORSE,YT,Y1A5L8,2
S0H3W0,50.15819,-106.630258,2,1,,SHAMROCK,SK,S0H3W0,2
S0N2H0,50.861549,-109.269111,2,1,,EATONIA,SK,S0N2H0,2
S0N1X0,50.360735,-108.35414,2,1,,PENNANT STATION,SK,S0N1X0,2
S9A2Y7,52.739492,-108.306819,2,1,,NORTH BATTLEFORD,SK,S9A2Y7,2
S9X1Y8,54.129703,-108.436932,2,1,,MEADOW LAKE,SK,S9X1Y8,2
S0N1G0,50.67825,-109.142885,2,1,,LANCER,SK,S0N1G0,2
S0H2B0,50.116377,-106.960738,2,1,,HODGEVILLE,SK,S0H2B0,2
S0N1E0,50.400369,-108.596279,2,1,,HAZLET,SK,S0N1E0,2
S0H1X0,49.803723,-106.563081,2,1,,Gravelbourg,SK,S0H1X0,2
S0N0W0,49.205164,-108.56277,2,1,,Eastend,SK,S0N0W0,2
S0M0N0,52.746894,-109.018617,2,1,,CUT KNIFE,SK,S0M0N0,2
S0H0X0,50.134869,-106.375574,2,1,,CODERRE,SK,S0H0X0,2
S0N0N0,49.24961,-108.343787,2,1,,EASTEND,SK,S0N0N0,2
S0N0J0,50.618993,-108.463196,2,1,,Cabri,SK,S0N0J0,2
S0M0J0,55.862449,-108.490026,2,1,,Buffalo Narrows,SK,S0M0J0,2
N3H5L8,43.408668,-80.328393,2,1,,Cambridge,ON,N3H5L8,2
V2A6J9,49.490541,-119.58352,2,1,,PENTICTON,BC,V2A6J9,2
A3F7C5,,0,0,,,,,A3F7C5,2
V4C3S6,49.175355,-122.910001,2,1,,Delta,BC,V4C3S6,2
T1W3A1,51.070219,-115.360183,2,1,,Canmore,AB,T1W3A1,2
M5G2E3,43.658197,-79.384623,2,1,,Toronto,ON,M5G2E3,2
R3B3P4,49.885341,-97.169858,2,1,,WINNIPEG,MB,R3B3P4,2
H3B2K8,45.498529,-73.570661,2,1,,MONTREAL,QC,H3B2K8,2
M4W1G9,43.670963,-79.381362,2,1,,TORONTO,ON,M4W1G9,2
H2Z1G6,45.503805,-73.561757,2,1,,MONTR問AL,QC,H2Z1G6,2
M5V1J9,43.646971,-79.388912,2,1,,Toronto,ON,M5V1J9,2
M5C2T6,43.6517,-79.373149,2,1,,TORONTO,ON,M5C2T6,2
T2P0R3,51.050372,-114.07189,2,1,,CALGARY,AB,T2P0R3,2
M5J2R8,43.641425,-79.377264,2,1,,Toronto,ON,M5J2R8,2
M4T2S3,43.677939,-79.392311,2,1,,TORONTO,ON,M4T2S3,2
M5C1E5,43.649513,-79.376675,2,1,,TORONTO,ON,M5C1E5,2
S4P4B3,50.449651,-104.610931,2,1,,REGINA,SK,S4P4B3,2
K1B4X3,45.406021,-75.610877,2,1,,Ottawa,ON,K1B4X3,2
M4T1L8,43.687946,-79.393932,2,1,,TORONTO,ON,M4T1L8,2
V6B2S8,49.274429,-123.123109,2,1,,Vancouver,BC,V6B2S8,2
M5H2M5,43.646537,-79.407608,2,1,,TORONTO,ON,M5H2M5,2
V6H4C1,49.263091,-123.108693,2,1,,VANCOUVER,BC,V6H4C1,2
M5L1E2,43.646401,-79.379061,2,1,,TORONTO,ON,M5L1E2,2
M5H1J8,43.648664,-79.379914,2,1,,Toronto,ON,M5H1J8,2
K1B4S5,45.402108,-75.619913,2,1,,Ottawa,ON,K1B4S5,2
M5L1A2,43.647617,-79.379697,2,1,,TORONTO,ON,M5L1A2,2
M0J8L9,,0,0,,,,,M0J8L9,2
S7K5T6,52.128497,-106.66875,2,1,,SASKATOON,SK,S7K5T6,2
J4H4A6,45.542962,-73.487472,2,1,,LONGUEUIL,QC,J4H4A6,2
H3B2B6,45.502549,-73.56855,2,1,,MONTREAL,QC,H3B2B6,2
V5C6A7,49.266188,-123.010864,2,1,,Burnaby,BC,V5C6A7,2
R3M0B6,49.867395,-97.163341,2,1,,WINNIPEG,MB,R3M0B6,2
M5V1K4,43.647153,-79.396905,2,1,,Toronto,ON,M5V1K4,2
K1S5R5,45.401155,-75.710425,2,1,,Ottawa,ON,K1S5R5,2
R3T6C6,49.834068,-97.178908,2,1,,Winnipeg,MB,R3T6C6,2
P1P1P3,44.915352,-79.368556,2,1,,Gravenhurst,ON,P1P1P3,2
T1W2B3,51.08828,-115.35833,2,1,,Canmore,AB,T1W2B3,2
E6A5A4,46.417889,-66.5215,2,1,,,,E6A5A4,2
C0B5F5,46.519884,-63.880634,2,1,,,,C0B5F5,2
T7A1S1,53.221304,-114.977258,2,1,,DRAYTON VALLEY,AB,T7A1S1,2
T9V2G3,53.278515,-110.033913,2,1,,Lloydminster (Part),AB,T9V2G3,2
T1R1B9,50.564985,-111.890495,2,1,,BROOKS,AB,T1R1B9,2
L0K2E0,44.680668,-79.862572,2,1,,VICTORIA HARBOUR,ON,L0K2E0,2
P1B8Z4,46.259343,-79.400308,2,1,,North Bay,ON,P1B8Z4,2
E9A9E5,47.029004,-64.962775,2,1,,,,E9A9E5,2
S7B2D6,,0,0,,,,,S7B2D6,2
C3E1E5,,0,0,,,,,C3E1E5,2
E2C1E9,,0,0,,,,,E2C1E9,2
A1B4K4,47.562961,-52.746544,2,1,,ST. JOHN&#39;S,NL,A1B4K4,2
E1C0A7,46.09777,-64.808349,2,1,,MONCTON,NB,E1C0A7,2
H3C4K9,45.491258,-73.561963,2,1,,MONTREAL,QC,H3C4K9,2
K8N5C1,44.169322,-77.38478,2,1,,BELLEVILLE,ON,K8N5C1,2
R3C2V4,49.891306,-97.133865,2,1,,WINNIPEG,MB,R3C2V4,2
V6B3T4,49.272915,-123.10019,2,1,,VANCOUVER,BC,V6B3T4,2
T7E1V8,53.592013,-116.426842,2,1,,EDSON,AB,T7E1V8,2
B4B1A9,44.726501,-63.713122,2,1,,Bedford,NS,B4B1A9,2
H3Z1V9,45.480837,-73.591842,2,1,,WESTMOUNT,QC,H3Z1V9,2
T4G1P8,52.026034,-113.948604,2,1,,INNISFAIL,AB,T4G1P8,2
H3C2W3,45.497309,-73.564285,2,1,,MONTR問AL,QC,H3C2W3,2
H4W2J2,45.459858,-73.663611,2,1,,C毛TE SAINT-LUC,QC,H4W2J2,2
T6W0S9,53.426872,-113.533265,2,1,,,,T6W0S9,2
N6H4N2,42.975104,-81.32314,2,1,,London,ON,N6H4N2,2
L9K1J3,43.228521,-79.94812,2,1,,Ancaster,ON,L9K1J3,2
C5H5N9,,0,0,,,,,C5H5N9,2
N4S8V3,43.132844,-80.737536,2,1,,Woodstock,ON,N4S8V3,2
C7D6E9,,0,0,,,,,C7D6E9,2
T7A1R3,53.22427,-114.977504,2,1,,DRAYTON VALLEY,AB,T7A1R3,2
T4R1L2,52.240402,-113.813887,2,1,,Red Deer,AB,T4R1L2,2
H2W2M7,45.522886,-73.580337,2,1,,MONTR問AL,QC,H2W2M7,2
L5N5R4,43.598186,-79.768118,2,1,,Mississauga,ON,L5N5R4,2
C4D8B5,,0,0,,,,,C4D8B5,2
V3W2W8,49.142711,-122.832172,2,1,,Surrey,BC,V3W2W8,2
V1T7A8,50.255836,-119.304983,2,1,,Vernon,BC,V1T7A8,2
V1G1H7,55.76769,-120.227841,2,1,,Dawson Creek,BC,V1G1H7,2
V9P1L5,49.314354,-124.313793,2,1,,PARKSVILLE,BC,V9P1L5,2
V9W7K4,49.96342,-125.222879,2,1,,CAMPBELL RIVER,BC,V9W7K4,2
V3B2Y6,49.276515,-122.734487,2,1,,PORT COQUITLAM,BC,V3B2Y6,2
V1E2B3,50.738348,-119.245668,2,1,,SALMON ARM,BC,V1E2B3,2
V4C2V5,49.158784,-122.905449,2,1,,Delta,BC,V4C2V5,2
V8N5P3,48.490212,-123.323657,2,1,,VICTORIA,BC,V8N5P3,2
V8Z4K8,48.4675,-123.392027,2,1,,VICTORIA,BC,V8Z4K8,2
V2S2L5,49.048936,-122.297791,2,1,,ABBOTSFORD,BC,V2S2L5,2
V8Y3B9,48.509456,-123.364109,2,1,,VICTORIA,BC,V8Y3B9,2
V3S2C3,49.127152,-122.848505,2,1,,Surrey,BC,V3S2C3,2
K1A0G5,45.419063,-75.696918,2,1,,OTTAWA,ON,K1A0G5,2
E0E3C6,45.871093,-65.82734,2,1,,,,E0E3C6,2
T2H0J6,51.003132,-114.070915,2,1,,CALGARY,AB,T2H0J6,2
A8E5C2,,0,0,,,,,A8E5C2,2
P4N2M5,48.474264,-81.327072,2,1,,Timmins,ON,P4N2M5,2
J0L1T0,45.409644,-73.008686,2,1,,SAINT-HUBERT,QC,J0L1T0,2
H7K3H6,45.608973,-73.74572,2,1,,LAVAL,QC,H7K3H6,2
L0A1G0,44.147431,-78.455273,2,1,,cavan,ON,L0A1G0,2
K7K7K7,44.258248,-76.509638,2,1,,KINGSTON,ON,K7K7K7,2
T7S1N3,54.136526,-115.681424,2,1,,WHITECOURT,AB,T7S1N3,2
P1L1V4,45.03259,-79.331789,2,1,,BRACEBRIDGE,ON,P1L1V4,2
K1N6N1,45.429831,-75.675338,2,1,,Ottawa,ON,K1N6N1,2
N8W5K5,42.286621,-82.951771,2,1,,Windsor,ON,N8W5K5,2
T0A3A2,53.990325,-111.278544,2,1,,ST PAUL,AB,T0A3A2,2
H1V1R2,45.556645,-73.534372,2,1,,MONTR問AL,QC,H1V1R2,2
G5M1R1,48.509885,-68.4599,2,1,,RIMOUSKI,QC,G5M1R1,2
G0X2X0,46.465708,-72.538368,2,1,,SAINT-MAURICE,QC,G0X2X0,2
G0W2L0,48.473015,-71.647316,2,1,,ALMA,QC,G0W2L0,2
J1A1R2,45.132159,-71.81999,2,1,,COATICOOK,QC,J1A1R2,2
J3T1M4,46.240881,-72.599492,2,1,,NICOLET,QC,J3T1M4,2
G5V2P4,46.973606,-70.553703,2,1,,MONTMAGNY,QC,G5V2P4,2
J0P1X0,45.302141,-74.307142,2,1,,Les Coteaux,QC,J0P1X0,2
T0H2R0,56.039469,-117.129173,2,1,,NAMPA,AB,T0H2R0,2
H3J1K1,45.486474,-73.572149,2,1,,MONTR問AL,QC,H3J1K1,2
C3E1B4,,0,0,,,,,C3E1B4,2
E1A5D4,46.098901,-64.740542,2,1,,,,E1A5D4,2
R3E3E7,49.916435,-97.198858,2,1,,WINNIPEG,MB,R3E3E7,2
H1W3J4,45.546179,-73.545755,2,1,,MONTR問AL,QC,H1W3J4,2
E4L1G8,45.900259,-64.379294,2,1,,SACKVILLE,NB,E4L1G8,2
E4L1E1,45.899007,-64.37355,2,1,,SACKVILLE,NB,E4L1E1,2
T2V1K8,50.979301,-114.083299,2,1,,Calgary,AB,T2V1K8,2
P6A1Y6,46.515331,-84.338222,2,1,,Sault Sainte Marie,ON,P6A1Y6,2
K9J7B8,44.359697,-78.292797,2,1,,PETERBOROUGH,ON,K9J7B8,2
K1A0C9,45.428747,-75.714369,2,1,,GATINEAU,QC,K1A0C9,2
H3K3E7,45.483608,-73.560239,2,1,,MONTR問AL,QC,H3K3E7,2
B3E8C0,44.730976,-63.352825,2,1,,,,B3E8C0,2
C8D1A9,,0,0,,,,,C8D1A9,2
T9N2H7,54.268204,-110.7434,2,1,,BONNYVILLE,AB,T9N2H7,2
T2L2A6,51.083366,-114.134179,2,1,,Calgary,AB,T2L2A6,2
K1A1A8,45.386712,-75.621086,2,1,,Ottawa,ON,K1A1A8,2
V0R1X0,49.175257,-123.839817,2,1,,GABRIOLA,BC,V0R1X0,2
V6T1Z1,49.267682,-123.250305,2,1,,VANCOUVER,BC,V6T1Z1,2
E4L1B4,45.896661,-64.367622,2,1,,SACKVILLE,NB,E4L1B4,2
V2N4Z9,53.918247,-122.791563,2,1,,PRINCE GEORGE,BC,V2N4Z9,2
B8B3B3,,0,0,,,,,B8B3B3,2
H3K2N9,45.479164,-73.551857,2,1,,MONTR問AL,QC,H3K2N9,2
L0N1S6,44.093373,-80.191625,2,1,,SHELBURNE,ON,L0N1S6,2
C1G5K4,,0,0,,,,,C1G5K4,2
E3F0E0,,0,0,,,,,E3F0E0,2
M1R1P7,43.731841,-79.305743,2,1,,North York,ON,M1R1P7,2
T5T6K4,53.502285,-113.670366,2,1,,Edmonton,AB,T5T6K4,2
B8F5B1,,0,0,,,,,B8F5B1,2
H4C2N5,45.477048,-73.579681,2,1,,MONTR問AL,QC,H4C2N5,2
E8F8F7,,0,0,,,,,E8F8F7,2
E9G8F8,47.260881,-65.112997,2,1,,,,E9G8F8,2
H9H8G8,45.471517,-73.85845,2,1,,,,H9H8G8,2
H8F8F7,,0,0,,,,,H8F8F7,2
G8F9G7,,0,0,,,,,G8F9G7,2
H8F9H8,,0,0,,,,,H8F9H8,2
G9H7F9,46.327447,-72.408621,2,1,,,,G9H7F9,2
H9G8F9,45.475861,-73.836908,2,1,,,,H9G8F9,2
G9H8F9,46.327447,-72.408621,2,1,,,,G9H8F9,2
H9H9G8,45.471517,-73.85845,2,1,,,,H9H9G8,2
G8F9H8,,0,0,,,,,G8F9H8,2
H9G8F8,45.475861,-73.836908,2,1,,,,H9G8F8,2
G8G9H8,48.419563,-71.850215,2,1,,,,G8G9H8,2
B0B3B1,,0,0,,,,,B0B3B1,2
A1B1Y1,47.582405,-52.719226,2,1,,ST. JOHN&#39;S,NL,A1B1Y1,2
N6A3K7,43.008417,-81.269622,2,1,,LONDON,ON,N6A3K7,2
B8C1A4,,0,0,,,,,B8C1A4,2
C4B9D3,,0,0,,,,,C4B9D3,2
E4B8E1,46.044877,-66.084188,2,1,,,,E4B8E1,2
C1E5A9,46.272482,-63.164346,2,1,,,,C1E5A9,2
A3E1F3,,0,0,,,,,A3E1F3,2
C2E2F1,,0,0,,,,,C2E2F1,2
C1E8A3,46.272482,-63.164346,2,1,,,,C1E8A3,2
E5F0F0,,0,0,,,,,E5F0F0,2
C2B8F8,,0,0,,,,,C2B8F8,2
C0D1C4,,0,0,,,,,C0D1C4,2
B9D4E7,,0,0,,,,,B9D4E7,2
B9F0F9,,0,0,,,,,B9F0F9,2
A4D3A7,,0,0,,,,,A4D3A7,2
C9E9F4,,0,0,,,,,C9E9F4,2
E5E0C9,44.883755,-66.917951,2,1,,,,E5E0C9,2
C5C6F8,,0,0,,,,,C5C6F8,2
A3B5A0,,0,0,,,,,A3B5A0,2
C6D6F3,,0,0,,,,,C6D6F3,2
C6F8E8,,0,0,,,,,C6F8E8,2
E3B0D8,45.922847,-66.638855,2,1,,,,E3B0D8,2
A9B4B6,,0,0,,,,,A9B4B6,2
B0D9B8,,0,0,,,,,B0D9B8,2
C0D0E4,,0,0,,,,,C0D0E4,2
B6E7E3,,0,0,,,,,B6E7E3,2
E3C5D8,45.901699,-66.711795,2,1,,,,E3C5D8,2
E5A2C3,45.299415,-67.315026,2,1,,MOORES MILLS,NB,E5A2C3,2
B4D0D9,,0,0,,,,,B4D0D9,2
C9A8C8,,0,0,,,,,C9A8C8,2
C4E6E3,,0,0,,,,,C4E6E3,2
C6F6A1,,0,0,,,,,C6F6A1,2
A0A7C8,47.487036,-53.086027,2,1,,,,A0A7C8,2
C4D7C6,,0,0,,,,,C4D7C6,2
A9E3F9,,0,0,,,,,A9E3F9,2
B9F9F8,,0,0,,,,,B9F9F8,2
E4D1E8,,0,0,,,,,E4D1E8,2
A7F8C2,,0,0,,,,,A7F8C2,2
E7A8F1,47.288024,-68.632318,2,1,,,,E7A8F1,2
C8E7E8,,0,0,,,,,C8E7E8,2
E9E3E6,46.923822,-65.823223,2,1,,,,E9E3E6,2
A1E8C2,47.539302,-52.74861,2,1,,,,A1E8C2,2
B9B7E6,,0,0,,,,,B9B7E6,2
A3E4F7,,0,0,,,,,A3E4F7,2
E5E7E9,44.883755,-66.917951,2,1,,,,E5E7E9,2
B8E0C9,,0,0,,,,,B8E0C9,2
C0B7E2,46.519884,-63.880634,2,1,,,,C0B7E2,2
E2F1F3,,0,0,,,,,E2F1F3,2
B0C5A3,46.738452,-60.460412,2,1,,,,B0C5A3,2
E0E7B0,45.871093,-65.82734,2,1,,,,E0E7B0,2
A4C3A2,,0,0,,,,,A4C3A2,2
A1C8F5,47.563989,-52.715109,2,1,,,,A1C8F5,2
A4F1C8,,0,0,,,,,A4F1C8,2
A2D4E0,,0,0,,,,,A2D4E0,2
H3J2J7,45.479036,-73.57617,2,1,,MONTR問AL,QC,H3J2J7,2
H3J1G8,45.484685,-73.579134,2,1,,MONTR問AL,QC,H3J1G8,2
H4C2T7,45.474537,-73.582864,2,1,,MONTR問AL,QC,H4C2T7,2
H4C2B5,45.470647,-73.58826,2,1,,Montr密al,QC,H4C2B5,2
H4C2M2,45.478132,-73.578813,2,1,,MONTR問AL,QC,H4C2M2,2
J4G1Y5,45.569009,-73.477622,2,1,,LONGUEUIL,QC,J4G1Y5,2
G1K7Y7,46.813205,-71.203929,2,1,,QU問BEC,QC,G1K7Y7,2
E1C9B6,46.097785,-64.808349,2,1,,MONCTON,NB,E1C9B6,2
B2Y4T3,44.624414,-63.511828,2,1,,DARTMOUTH,NS,B2Y4T3,2
A1C5X1,47.565121,-52.691193,2,1,,ST. JOHN&#39;S,NL,A1C5X1,2
T4J1R4,52.580829,-113.643568,2,1,,PONOKA,AB,T4J1R4,2
J4M2A4,45.535504,-73.452753,2,1,,LONGUEUIL,QC,J4M2A4,2
L1W3N9,43.835769,-79.065389,2,1,,Pickering,ON,L1W3N9,2
T1J0S9,49.694344,-112.844598,2,1,,Lethbridge,AB,T1J0S9,2
K3S9J2,,0,0,,,,,K3S9J2,2
C7C1C5,,0,0,,,,,C7C1C5,2
J8P7R8,45.518178,-75.628767,2,1,,GATINEAU,QC,J8P7R8,2
K1J9L3,45.434195,-75.610527,2,1,,Ottawa,ON,K1J9L3,2
K1N9A5,45.422286,-75.684057,2,1,,OTTAWA,ON,K1N9A5,2
E1B4C1,46.043744,-64.799388,2,1,,Riverview,NB,E1B4C1,2
K6J1G2,45.018175,-74.728793,2,1,,CORNWALL,ON,K6J1G2,2
E3B5G4,45.946651,-66.656853,2,1,,FREDERICTON,NB,E3B5G4,2
R7C1B4,49.871736,-99.940508,2,1,,BRANDON,MB,R7C1B4,2
H3K1C8,45.48031,-73.569594,2,1,,MONTR問AL,QC,H3K1C8,2
M2N6L9,43.769178,-79.413059,2,1,,NORTH YORK,ON,M2N6L9,2
E7E1A0,47.189907,-67.91176,2,1,,,,E7E1A0,2
T2P1H2,51.04971,-114.079856,2,1,,CALGARY,AB,T2P1H2,2
K0E1X0,44.849665,-75.542621,2,1,,Spencerville,ON,K0E1X0,2
B9A0A7,45.635655,-61.367087,2,1,,,,B9A0A7,2
A5E4A0,,0,0,,,,,A5E4A0,2
M5V1Y1,43.651141,-79.378986,2,1,,Toronto,ON,M5V1Y1,2
K1N7E7,45.429143,-75.691546,2,1,,Ottawa,ON,K1N7E7,2
L6P0A1,43.738268,-79.688297,2,1,,Brampton,ON,L6P0A1,2
P7C2V3,48.394018,-89.246655,2,1,,Thunder Bay,ON,P7C2V3,2
L5N6J3,43.602943,-79.735629,2,1,,Mississauga,ON,L5N6J3,2
H4E1J6,45.462922,-73.590414,2,1,,MONTR問AL,QC,H4E1J6,2
T6L6W6,53.45685,-113.424892,2,1,,Edmonton,AB,T6L6W6,2
R3P1J6,49.843493,-97.182859,2,1,,WINNIPEG,MB,R3P1J6,2
K1A0G3,45.427049,-75.714465,2,1,,HULL,ON,K1A0G3,2
S4P0S1,50.442691,-104.579421,2,1,,Regina,SK,S4P0S1,2
H3K1C7,45.481623,-73.567388,2,1,,MONTR問AL,QC,H3K1C7,2
H3G1M8,45.499761,-73.574353,2,1,,MONTR問AL,QC,H3G1M8,2
T2M4S2,51.059747,-114.085717,2,1,,Calgary,AB,T2M4S2,2
R3G0R4,49.891923,-97.178138,2,1,,WINNIPEG,MB,R3G0R4,2
T4R1N9,52.257492,-113.805503,2,1,,Red Deer,AB,T4R1N9,2
J3L1G7,45.46025,-73.301509,2,1,,CHAMBLY,QC,J3L1G7,2
H3J1A8,45.487596,-73.578188,2,1,,MONTR問AL,QC,H3J1A8,2
H3J1A5,45.489516,-73.575844,2,1,,MONTR問AL,QC,H3J1A5,2
H3J1C8,45.487104,-73.577437,2,1,,MONTR問AL,QC,H3J1C8,2
R3H3X3,49.903092,-97.210515,2,1,,,,R3H3X3,2
N2N6N7,43.424716,-80.538381,2,1,,,,N2N6N7,2
X6Q6Y6,,0,0,,,,,X6Q6Y6,2
N2N1N3,43.420565,-80.537468,2,1,,Kitchener,ON,N2N1N3,2
G2W2O2,,0,0,,,,,G2W2O2,2
C2S2K2,,0,0,,,,,C2S2K2,2
S8L8R8,,0,0,,,,,S8L8R8,2
L4L6L5,43.787463,-79.619298,2,1,,WOODBRIDGE,ON,L4L6L5,2
C8S8K8,,0,0,,,,,C8S8K8,2
P6A6Y6,46.525041,-84.247955,2,1,,Sault Sainte Marie,ON,P6A6Y6,2
A8Q8M8,,0,0,,,,,A8Q8M8,2
T8J8Z8,,0,0,,,,,T8J8Z8,2
J6N6M6,45.315659,-73.857985,2,1,,,,J6N6M6,2
E2Y2W1,,0,0,,,,,E2Y2W1,2
K1G4J5,45.401443,-75.651506,2,1,,OTTAWA,ON,K1G4J5,2
H7V1R2,45.547462,-73.737646,2,1,,LAVAL,QC,H7V1R2,2
H2L4G9,45.520149,-73.57142,2,1,,MONTR問AL,QC,H2L4G9,2
H3T1P1,45.494739,-73.622953,2,1,,MONTR問AL,QC,H3T1P1,2
J4K5C3,45.526761,-73.51983,2,1,,LONGUEUIL,QC,J4K5C3,2
J4K5G4,45.531328,-73.515264,2,1,,Longueuil,QC,J4K5G4,2
J1K2R1,45.383739,-71.926943,2,1,,SHERBROOKE,QC,J1K2R1,2
P0R1L0,46.263602,-83.556035,2,1,,Thessalon,ON,P0R1L0,2
T2H0L9,50.989534,-114.07106,2,1,,CALGARY,AB,T2H0L9,2
H3J1T3,45.491001,-73.569104,2,1,,MONTR問AL,QC,H3J1T3,2
H4C1E1,45.47593,-73.592293,2,1,,MONTR問AL,QC,H4C1E1,2
R3C3X1,49.892422,-97.144815,2,1,,WINNIPEG,MB,R3C3X1,2
H1C1C1,45.690382,-73.524414,2,1,,MONTR問AL,QC,H1C1C1,2
N2A1C4,43.432834,-80.440108,2,1,,Kitchener,ON,N2A1C4,2
R3E2X7,49.919745,-97.183513,2,1,,WINNIPEG,MB,R3E2X7,2
T2S8M6,51.028224,-114.071526,2,1,,,,T2S8M6,2
A0F5A7,,0,0,,,,,A0F5A7,2
H2T2H2,45.526944,-73.591519,2,1,,MONTR問AL,QC,H2T2H2,2
T1W2W4,51.041402,-115.277679,2,1,,CANMORE,AB,T1W2W4,2
H2T2B1,45.522957,-73.586154,2,1,,MONTR問AL,QC,H2T2B1,2
J3X1E3,45.680881,-73.434787,2,1,,VARENNES,QC,J3X1E3,2
K2H8P9,45.318383,-75.893226,2,1,,NEPEAN,ON,K2H8P9,2
H4S1S1,45.486712,-73.742958,2,1,,SAINT-LAURENT,QC,H4S1S1,2
T0M0N0,51.562928,-114.097279,2,1,,Carstairs,AB,T0M0N0,2
T5H3P2,53.555713,-113.526923,2,1,,EDMONTON,AB,T5H3P2,2
T5E4K3,53.580496,-113.495489,2,1,,EDMONTON,AB,T5E4K3,2
H9X1M9,45.406909,-73.949971,2,1,,SAINTE-ANNE-DE-BELLEVUE,QC,H9X1M9,2
E0F5E6,,0,0,,,,,E0F5E6,2
H2W2B7,45.516958,-73.576396,2,1,,MONTR問AL,QC,H2W2B7,2
H9R5A6,45.447865,-73.812388,2,1,,POINTE-CLAIRE,QC,H9R5A6,2
E1C3P3,46.103061,-64.802906,2,1,,Moncton,NB,E1C3P3,2
L5R1Y4,43.599303,-79.65969,2,1,,MISSISSAUGA,ON,L5R1Y4,2
N1T1Z2,43.391453,-80.301945,2,1,,Cambridge,ON,N1T1Z2,2
E2E1E1,45.422895,-66.002079,2,1,,QUISPAMSIS,NB,E2E1E1,2
V8P5J2,48.447368,-123.3234,2,1,,VICTORIA,BC,V8P5J2,2
T5J0N7,53.540397,-113.492361,2,1,,Edmonton,AB,T5J0N7,2
